uid,body,title,url,newspaper_uid,host,_tokens_title,_tokens_body
b1558e7e02a58da0555600d50674c802,"Beatriz Martínez (Jaén, 1982) dice que empezó soñando a lo grande desde el principio. Hace no muchos años, cuando la vida no era como la tenía planeada, dejaba a su hija menor a cargo de una amiga y cada noche recorría 160 kilómetros desde su casa en un pueblo de la Comunidad de Madrid hasta el centro de la capital para aprender el oficio de disc-jockey. Una década después, conocida artísticamente como B Jones, este mes de julio se convertirá en el primer artista español en actuar en el escenario principal de Tomorrowland, el festival de música electrónica más importante del mundo que se celebra cada verano en la localidad belga de Boom. Y lo hará en dos ocasiones: los viernes 15 y 29 de julio. Es un sueño cumplido, todavía no me lo creo y eso que últimamente trabajo cada día por esa época. Es una responsabilidad enorme, cuenta emocionada a EL PAÍS.","La DJ B Jones, de las noches en la carretera al olimpo de la música electrónica: Ahora somos el centro de la fiesta ",https://elpais.com/gente/2022-07-12/la-dj-b-jones-de-las-noches-en-la-carretera-al-olimpo-de-la-musica-electronica-ahora-somos-el-centro-de-la-fiesta.html,elpais.csv,elpais.com,9,74
7ddc00bda8d90615835e3f450ba0bcd1,"American political rhetoric depicting Mexico as an adversary is most commonly associated with Trumps GOP. In reality, it has been a bipartisan political sport long preceding Trump that still guides how leaders in both parties often frame the US-Mexico relationship. While Trumps outright villainization of Mexico is no longer a daily news topic, a recent article in The New York Times alarmingly suggested that many Biden administration insiders believe that a more adversarial relationship with Mexico would better advance US interests. The article quotes a number of anonymous Biden officials who argue the American ambassador to Mexico, Ken Salazar, should establish a less collaborative and more distant relationship with Mexican authorities in order to deliver unspecified policy wins to the Biden administration.",A better way to understand the US-Mexico relationship,https://english.elpais.com/international/2022-07-12/a-better-way-to-understand-the-us-mexico-relationship.html,elpais.csv,english.elpais.com,6,109
ca2f8ad2850974c5cec0eb43804ba945,"La Academia de la Televisión Estadounidense ha anunciado este martes los candidatos a los 74º premios Emmy, cuyos ganadores se conocerán el lunes 12 de septiembre en una gala que todavía no tiene presentador. Las nominaciones han seguido la línea habitual de estos galardones, sin grandes sorpresas ni estridencias que se salgan del guion. Se podía intuir que Succession, el drama que ha tomado el relevo de otras grandes producciones de prestigio paridas por HBO, recibiría una lluvia de nominaciones por su tercera temporada, emitida el pasado otoño, después de alzarse en 2020 con el premio al mejor drama. Y así ha sido: la serie sobre los trapos sucios, sucísimos, de una familia de milmillonarios lidera las nominaciones con un total de 25 candidaturas para intentar sumar nuevas estatuillas a las nueve que ya tiene. En las categorías de comedia tampoco hubo sorpresas, y la vencedora del año pasado, Ted Lasso (Apple TV+), ha sumado en su segunda temporada 20 nominaciones para la historia del amable entrenador de fútbol interpretado por Jason Sudeikis y que ha conquistado a su equipo, al público y a los premios. Otras 20 candidaturas ha conquistado The White Lotus (HBO), en este caso en las categorías de miniserie.",Succession y Ted Lasso lideran las nominaciones a los Emmy 2022,https://elpais.com/television/2022-07-12/succession-y-ted-lasso-lideran-las-nominaciones-a-los-emmy-2022.html,elpais.csv,elpais.com,3,101
da342cc8b5d02a375e6257b2ce2ac5c5,"En 1979, Rosaly Lopes vio un chorro de roca fundida elevarse más de 15 metros sobre la negra cima del monte Etna, en Italia, que acababa de entrar en erupción. Era la primera vez que esta estudiante de astronomía brasileña, nacida en Río de Janiero hace 57 años, visitaba un volcán, y desde entonces apenas ha hecho otra cosa. Lopes ha explorado más de 50 cráteres activos de todos los continentes, incluido el gélido monte Erebus de la Antártida.","Rosaly Lopes, la persona que más volcanes ha descubierto: Puede haber vida en Titán ",https://elpais.com/ciencia/2022-07-08/rosaly-lopes-la-persona-que-mas-volcanes-ha-descubierto-puede-haber-vida-en-titan.html,elpais.csv,elpais.com,7,42
d1eee8ae0fcbac8621236ad43b75fc6b,"Los antiguos egipcios usaban suturas hechas de cintas de lino y tendones de animales, y en Sudáfrica e India se aprovechaban las cabezas de grandes hormigas mordedoras para sujetar los bordes de las heridas. Los seres humanos han recurrido durante siglos a materiales naturales y artificiales para reparar todo tipo de tejidos. Más de 4.000 años después, la ingeniera estadounidense Kristi Anseth investiga cómo los biomateriales más modernos y sofisticados ayudan a regenerar cartílagos, a que los huesos sanen más rápido y a entender mejor algunas enfermedades.","La ingeniera que enseña a nuestro cuerpo a autorrepararse: Hemos regenerado piel, cartílagos y vasos sanguíneos, pero todavía tenemos que hacer más",https://elpais.com/salud-y-bienestar/2022-07-12/la-ingeniera-que-ensena-a-nuestro-cuerpo-a-autorrepararse-hemos-regenerado-piel-cartilagos-y-vasos-sanguineos-pero-todavia-tenemos-que-hacer-mas.html,elpais.csv,elpais.com,11,49
f7a120a585853c6a5beee0cf43f5577b,"¿Quién ha sido el más grande líder indio? ¿Toro Sentado? ¿Caballo Loco? ¿Nube Roja? ¿Cochise? ¿Jerónimo? ¿Quanah Parker? ¿Pontiac? En EE UU mucha gente dará una respuesta que puede sorprender en otros países: Tecumseh. El jefe shawnee fue un personaje crucial de la resistencia de las tribus de nativos norteamericanos contra la agresiva expansión de la recién nacida república estadounidense a inicios del siglo XIX. Guerrero legendario y gallardo caudillo admirado hsta por sus enemigos, Tecumseh formó una insólita e irresistible pareja político-religioso-militar con su hermano, un turbio chamán tuerto llamado Tenskwatawa y conocido como El Profeta. Juntos, tuvieron en jaque a los EE UU creando la más poderosa confederación india de la historia y reuniendo el doble de guerreros de los que Toro Sentado y Caballo Loco desplegaron tres generaciones más tarde en Little Bighorn. Su biógrafo Peter Cozzens (Wheaton, Illinois, 65 años), autor de Tecumseh y el Profeta, los hermanos shawnees que desafiaron a Estados Unidos (Desperta Ferro, 2021), recalca en una entrevista con EL PAÍS que el líder incluso pudo haber cambiado la historia de Norteamérica de no haber caído en combate en 1813 durante una batalla en la denominada Guerra Angloestadounidense de 1812, en la que apoyaba con su contingente indio a los británicos.",El noble y valiente jefe shawnee Tecumseh lidera la nueva incursión de libros sobre los indios norteamericanos,https://elpais.com/cultura/2022-07-11/el-noble-y-valiente-jefe-shawnee-tecumseh-lidera-la-nueva-incursion-de-libros-sobre-los-indios-norteamericanos.html,elpais.csv,elpais.com,11,113
9466a30783273b6e831c28d203a99288,"Seis días al año de vacaciones. Desde hace un siglo, eso es a lo que tienen derecho las y los trabajadores en México cuando cumplen un año por estar en una empresa. Después, cada año, el descanso sube un día, hasta alcanzar un máximo de doce días. Seguido por Japón y Costa Rica como los países con menos vacaciones, 10 días, y Turquía, con 12. En el extremo opuesto se encuentran Reino Unido, Luxemburgo y Francia, donde los trabajadores gozan de 28, 26 y 25 días de vacaciones, respectivamente. Contra la fama de flojos, en México se trabaja más que en muchos otros países, y se descansa apenas nada. La senadora Patricia Mercado explica en La Vespertina el proyecto de ley para corregir esta aberración. ¿Quién se opone? Los patrones. Y mucho.",Vacaciones: un derecho coartado a las y los mexicanos,https://elpais.com/mexico/2022-07-07/vacaciones-un-derecho-coartado-a-las-y-los-mexicanos.html,elpais.csv,elpais.com,4,61
46edf94e9039acf828c70734187dc7e8,"El papa Francisco urge a los jóvenes a consumir menos carne para comprometerse con una ecología integral y romper esta tendencia autodestructiva generada por el consumismo. En una carta dirigida este lunes a los participantes de la EU Youth Conference reunidos en Praga (República Checa) del 11 al 13 de julio de 2022 para debatir, entre otras cuestiones, sobre la sostenibilidad, el Papa ha reivindicado una vida digna y sobria, sin lujos ni derroches, para que todos puedan habitar el mundo con dignidad. En esa misiva, Francisco también ha puesto el acento sobre el impacto medioambiental que genera la producción cárnica y el uso de energía no renovable. Es urgente reducir el consumo no solo de combustibles fósiles sino también de muchas cosas superfluas; y asimismo, en ciertas zonas del mundo, conviene consumir menos carne, esto también puede ayudar a salvar el medio ambiente.",El Papa urge a los jóvenes a comer menos carne para salvar el medio ambiente,https://elpais.com/clima-y-medio-ambiente/2022-07-11/el-papa-urge-a-los-jovenes-a-comer-menos-carne-para-salvar-el-medio-ambiente.html,elpais.csv,elpais.com,8,68
e370f0bbc2f8044fda22c77e8173dd9e,"El paso de los años no viene solo, entre más tiempo pasa, nuestro organismo va sufriendo cambios no tan positivos, que se deben tratar a tiempo para que no sea demasiado tarde. Una de las zonas del cuerpo en donde más se evidencia el envejecimiento es la cara, ya que se encuentra siempre expuesta al sol y a más factores, y tiene una piel más fina y sensible. Poco a poco van apareciendo arrugas, las líneas de expresión naturales se demarcan más y la piel pierde brillo y frescura. Hoy en Escaparate te traemos los cosméticos más vendidos de Yeouth en Amazon, descubre esta marca low cost que te cambiará la vida, con la que podrás rejuvenecer tu rostro.",Rejuvenece tu rostro con los cosméticos más vendidos de Yeouth en Amazon,https://elpais.com/mexico/escaparate/2022-07-10/rejuvenece-tu-rostro-con-los-cosmeticos-mas-vendidos-de-yeouth-en-amazon.html,elpais.csv,elpais.com,6,57
9f202e126a4549e44c16eb702aa55ccc,"El sector del automóvil atraviesa una situación crítica, de transformación y de dificultades. España se juega mucho en el envite. El país es el segundo productor europeo de vehículos tras Alemania y el cuarto fabricante de componentes, con una industria auxiliar de un millar de empresas preparadas para un proceso de fusiones y adquisiciones que va a cribar el negocio. De cómo afronta el sector este momento de cambio depende un 12,5% de la economía (PIB), según las cuentas de la asociación de fabricantes de automóviles Anfac y de la asociación de proveedores de automoción Sernauto. El director general de esta última, José Portilla, resume así la situación: el sector, asegura, se encuentra inmerso en una transformación sin precedentes. Sobre todos los planes manda el desarrollo del coche eléctrico y la prohibición de motores de combustión en la UE a partir de 2035.",Los artesanos del coche del futuro son españoles,https://elpais.com/economia/negocios/2022-07-12/los-artesanos-del-coche-del-futuro.html,elpais.csv,elpais.com,4,72
