uid,body,title,url,newspaper_uid,host,_tokens_title,_tokens_body
3870953326c3589d31f7c7b577bff2ba,"Después de China, India es el segundo país más poblado del mundo. Se convertirá en el primero en 2027, según las Proyecciones de Población Mundiales de Naciones Unidas, ya que, junto con Nigeria, es el estado con el crecimiento demográfico más rápido. En 2050, habrá 273 millones de personas en el país asiático y 200 millones en el estado más grande de África occidental. En este contexto, la planificación de la infraestructura verde en India tiene el objetivo de contribuir a resolver los retos de desarrollo actuales relacionados con el crecimiento económico y la rápida expansión urbana. Hema Kumar, presidente de la Asociación India de Infraestructuras Verdes (IGIN) y vicepresidente de la Organización Mundial de Infraestructuras Verdes, es uno de sus principales impulsores. Emprendedor y entusiasta, está ubicado en la metrópoli de Bangalore, núcleo del Silicon Valley indio y pionera en la innovación de la naturación urbana hacia modelos de ciudad más sostenible.",La nueva revolución verde urbana en la India,https://elpais.com/planeta-futuro/seres-urbanos/2022-07-11/la-nueva-revolucion-verde-urbana-en-la-india.html,elpais,elpais.com,5,77
9de0b6775c97e5f4d8f719ca8d626a30,"En 2018, el Ayuntamiento de Artieda (Zaragoza) pidió ayuda al Área de Arqueología de la Universidad de Zaragoza para estudiar unos vestigios situados en torno a la ermita de San Pedro, conocidos como El Forau de la Tuta, Campo de la Virgen o Campo del Royo. Los especialistas comprobaron, tres años después, que estos lugares conformaban un único conjunto arqueológico de grandes dimensiones y que en superficie eran visibles dos fases de ocupación: una imperial romana (siglos I al V) y otra segunda altomedieval cristiana (siglos IX al XIII). Ahora el equipo investigador ha hecho públicos los resultados en el informe El Forau de la Tuta, una ciudad imperial romana hasta ahora desconocida de la vertiente sur de los Pirineos. Lo llamativo es que, a pesar de sus grandes dimensiones y de los edificios de proporciones monumentales de esta ciudad, nadie conoce su nombre antiguo.",Descubierta una desconocida ciudad romana con edificios de proporciones monumentales al pie de los Pirineos,https://elpais.com/cultura/2022-07-11/descubierta-una-desconocida-ciudad-romana-con-edificios-de-proporciones-monumentales-al-pie-de-los-pirineos.html,elpais,elpais.com,7,78
a6ea91be7f2e8be8f9eb63ae5586e4a4,"El único mar que pudo ver Beethoven fue el que debió de atisbar en Roterdam, en el otoño de 1783, cuando tenía solo 12 años. No disfrutó nada en el viaje (se quejó amargamente del frío que pasó en el barco que les llevó a él y a su madre por el Rin desde Bonn) y tampoco se sintió a gusto, como le pasaría durante toda su vida, viviendo en tierra extraña. El compositor no fue nunca muy dado a viajar y una canción que escribió probablemente muy joven, Urians Reise um die Welt (El viaje de Urian alrededor del mundo), podría reflejar esa aversión. En su segunda estrofa leemos: Primero fui al Polo Norte; / ¡a fe mía que hacía frío! / Entonces pensé que, para mi gusto, / en casa se está mucho mejor.",Beethoven veranea por fin en Noruega,https://elpais.com/cultura/2022-07-11/beethoven-veranea-por-fin-en-noruega.html,elpais,elpais.com,4,63
b28d20995a6529fa747f8c402b913c1e,"Nada, ni una palabra, no se habla de eso. Esa es la respuesta unánime de una decena de mujeres de diferentes edades sobre lo que saben o le han contado de la menopausia, una etapa vital que afronta la mitad del planeta: no saben nada, poco o menos les han hablado sobre ello a lo largo de su vida y cuando se la encuentran, persiste la espiral de silencio. No es una enfermedad, solo un proceso natural; pero el estigma social y el desconocimiento mantienen el manto de secretismo en torno al fin de la menstruación y lo que sigue después. No se habla: ni en casa, ni fuera.","El tabú de la menopausia: Hay vergüenza, preocupa ser identificadas como viejas o incapaces",https://elpais.com/salud-y-bienestar/2022-07-10/el-tabu-de-la-menopausia-hay-verguenza-preocupa-ser-identificadas-como-viejas-o-incapaces.html,elpais,elpais.com,7,42
c4bf8504e16a4bafdcae96d0729710a2,"En las discografías de todos los artistas de larga trayectoria, suele aparecer un patito feo. Un lanzamiento que no tiene sentido, fruto de la avidez de la compañía editora, tal vez la confesión de que en ese momento el artista perdió el mapa.",El disco maldito de The Clash,https://elpais.com/cultura/2022-07-11/el-disco-maldito-de-the-clash.html,elpais,elpais.com,4,20
4b47917da078a7bc082c3a4fb33017fc,"Members of the US womens national soccer team have won a landmark battle for equal pay. The win marks a before and after for the national team, which has been fighting for equal pay since 2016. The battle finally came to an end on Tuesday after US Soccer, the national federation for the sport, agreed to a multimillion-dollar settlement to compensate the players for systematically receiving less support and money than their male counterparts.",How the US womens soccer team won its battle for equal pay,https://english.elpais.com/sports/2022-02-23/how-the-us-womens-soccer-team-won-its-battle-for-equal-pay.html,elpais,english.elpais.com,11,67
bcf5694c0ce6058ae88fc99acb5d7ad6,"Un amplio grupo de los mayores expertos internacionales en biodiversidad ha lanzado este viernes una advertencia sobre la necesidad de que el ser humano haga un uso sostenible de las especies silvestres. Ese tipo de gestión conviene tanto a esas especies, que verían reducido el riesgo de extinción, como a los seres humanos. Porque miles de millones de personas en el mundo, tanto en países desarrollados como en desarrollo, se benefician a diario de estos animales, plantas, hongos y algas para obtener alimentos, energía, materiales y medicamentos. Un par de ejemplos: una de cada cinco personas dependen de ellas para comer o tener ingresos, y para una de cada tres es básica la madera para poder cocinar. Ambos datos vienen recogidos en el informe elaborado por la Plataforma Intergubernamental Científico-Normativa sobre Diversidad Biológica y Servicios de los Ecosistemas (Ipbes, sus siglas en inglés).",La sobrexplotación amenaza a las especies silvestres de las que dependen miles de millones de personas en el mundo,https://elpais.com/clima-y-medio-ambiente/2022-07-08/la-sobreexplotacion-amenaza-a-las-especies-silvestres-de-las-que-dependen-miles-de-millones-de-personas-en-el-mundo.html,elpais,elpais.com,9,75
b3a81817291e128eba38b3c88de3431b,"Experts believe that within a decade brain implants and sensors will be commonplace. Neurotechnology  the field that develops tools to interact directly with the nervous system  makes incredible promises and causes understandable misgivings. Its advance is unstoppable and it is nurtured with billions of dollars from investors such as Tesla founder Elon Musk and Facebook. But neuroscience is so complex it must move in very small steps towards that future. Now there is a new focus that could prove to be of huge benefit to this path: an artificial simulation of a neuronal connection made of organic material, which will allow for a better connection with living cells.",New advance in brain-machine interfaces: Artificial neurons command Venus flytrap to snap shut,https://english.elpais.com/science-tech/2022-02-24/new-advance-in-brain-machine-interfaces-artificial-neurons-command-venus-flytrap-to-snap-shut.html,elpais,english.elpais.com,12,104
9205385b31de17991710a039dba18d9f,"Desde hace milenios, la posibilidad de tener hijos ha sido un anhelo y un problema que depende de la oportunidad. Hasta hace pocas décadas no se tenían métodos eficaces para controlar los tiempos de uno de los fenómenos más fascinantes de la vida. Y aun así, parece que aún no controlamos del todo la capacidad de tener hijos. La catedral de Milán está dedicada al nacimiento de la virgen María, la madre por antonomasia para los cristianos. Una madre que, además, concibió tras una fecundación diferente a todas las anteriores. En esa ciudad con ese templo dedicado a la maternidad se han reunido esta semana muchos expertos internacionales en reproducción humana, en el Congreso Anual de la Sociedad Europea de Reproducción Humana y Embriología, el primero presencial después de la pandemia.",Óvulos que se agotan y declive del esperma: todo lo que ignoramos sobre fertilidad hasta el momento de querer hijos,https://elpais.com/salud-y-bienestar/2022-07-09/ovulos-que-se-agotan-y-declive-del-esperma-todo-lo-que-ignoramos-sobre-fertilidad-hasta-el-momento-de-querer-hijos.html,elpais,elpais.com,9,66
1bf4aae570bef6c605d0b9ef804d6ce6,"López Obrador vuelve a la Casa Blanca. El presidente mexicano viajará a Estados Unidos para reunirse la mañana del martes con Joe Biden y la vicepresidenta Kamala Harris. La última vez que estuvo en Washington fue en noviembre, en una reunión de líderes de América del Norte. Y dos años antes estuvo por invitación de Donald Trump, con el que tuvo una gran sincronía contra todo pronóstico. Su retorno al despacho oval será en condiciones muy diferentes, pues la relación bilateral ha acumulado meses de tensiones. El encuentro es antecedido por el desaire del jefe del Ejecutivo mexicano a la cumbre de las Américas, una reunión regional que tuvo como tema central, y preocupación común, la migración. El líder mexicano fue el gran ausente en Los Ángeles en un momento en el que su país ha desplazado a Centroamérica como el principal expulsor de personas al norte. Estas migran de forma insegura, como reveló la tragedia de San Antonio, donde fueron hallados 53 personas muertas dentro de un tráiler. 26 eran mexicanas.",López Obrador visita a Biden con el drama migrante como telón de fondo ,https://elpais.com/internacional/2022-07-11/lopez-obrador-visita-a-biden-con-el-drama-migrante-como-telon-de-fondo.html,elpais,elpais.com,8,85
